date,rank,track_id,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration_minutes,danceability_normalized,energy_normalized,loudness_normalized,speechiness_normalized,acousticness_normalized,instrumentalness_normalized,liveness_normalized,valence_normalized,tempo_normalized
2024-09-05,50,2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,86,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,183551,4,3.0591833333333334,0.796969696969697,0.8225352112676056,0.8473712737127371,0.0742218675179569,0.3213244606233898,0.0,0.06636726546906187,0.895615866388309,0.4849883941759865
2024-09-05,40,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,88,0.53,0.406,10,-7.507,1,0.033,0.656,0.0,0.133,0.338,115.94,157147,3,2.6191166666666668,0.40303030303030307,0.22394366197183108,0.48726287262872636,0.030327214684756576,0.6766736014842025,0.0,0.15502328675981375,0.27627000695894227,0.4086262924667652
2024-09-05,26,51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,89,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,228639,4,3.81065,0.5772727272727273,0.5619718309859156,0.39761517615176156,0.0690343176376696,0.06256004264189689,9.047619047619046e-05,0.05688622754491017,0.22639758756668982,0.40779911373707534
2024-09-05,38,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,90,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,261467,4,4.357783333333333,0.3075757575757576,0.0,0.0,0.07063048683160414,0.631221967188052,0.0008065476190476188,0.21656686626746507,0.03038738111807006,0.6800844059928255
2024-09-05,24,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,78,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3,3.4702,0.4257575757575758,0.16760563380281684,0.2701355013550135,0.049481245011971264,1.0,0.7946428571428571,1.0,0.00023196474135932232,0.1643300274319477
2024-09-05,25,7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),LISA,92,0.477,0.854,7,-4.715,1,0.275,0.0858,0.0,0.065,0.314,140.515,179790,5,2.9965,0.32272727272727264,0.8549295774647889,0.7899186991869919,0.9960095770151636,0.08766174067363454,0.0,0.041916167664670656,0.2484342379958246,0.6160540198354083
2024-09-05,2,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,100,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,210373,4,3.5062166666666665,0.7318181818181818,0.36619718309859156,0.1984823848238484,0.041500399042298464,0.20562939150591594,0.18095238095238092,0.12840984697272123,0.39225237763859894,0.31610044313146235
2024-09-05,3,5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,93,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,157280,4,2.6213333333333333,0.6212121212121212,0.9295774647887325,0.8581029810298102,0.15403032721468476,0.10336321433957743,0.0,0.4278110445775117,0.7204824866620274,0.38350706900189924
2024-09-05,4,7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,94,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,170888,4,2.848133333333333,0.6,0.7169014084507044,0.8952845528455284,0.026336791699920203,0.002016399776047402,0.0,0.25482368596141053,0.8561818603572257,0.4094197087993249
2024-09-05,5,2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,97,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459,4,2.9243166666666665,0.662121212121212,0.7225352112676058,0.7072086720867209,0.012370311252992816,0.10956116447087066,0.00019464285714285712,0.24151696606786427,0.6845279517513337,0.3075838784553704
